file_name,characters,words,status,message
IQ_000001.txt,47,10,Valid,
IQ_000002.txt,18,4,Warning,Contains unusual symbols
IQ_000003.txt,39,7,Valid,
IQ_000004.txt,72,11,Valid,
IQ_000005.txt,19,4,Valid,
IQ_000006.txt,26,5,Valid,
IQ_000007.txt,68,12,Valid,
IQ_000008.txt,42,7,Valid,
IQ_000009.txt,68,11,Valid,
IQ_000010.txt,95,15,Valid,
IQ_000011.txt,124,22,Valid,
IQ_000012.txt,96,14,Valid,
IQ_000013.txt,56,9,Valid,
IQ_000014.txt,66,10,Valid,
IQ_000015.txt,23,3,Valid,
IQ_000016.txt,47,8,Valid,
IQ_000017.txt,76,15,Valid,
IQ_000018.txt,135,21,Valid,
IQ_000019.txt,77,12,Valid,
IQ_000020.txt,38,8,Valid,
IQ_000021.txt,25,4,Valid,
IQ_000022.txt,37,8,Valid,
IQ_000023.txt,9,2,Valid,
IQ_000024.txt,59,11,Valid,
IQ_000025.txt,95,20,Valid,
IQ_000026.txt,58,11,Valid,
IQ_000027.txt,58,13,Valid,
IQ_000028.txt,25,5,Valid,
IQ_000029.txt,44,7,Valid,
IQ_000030.txt,27,6,Valid,
IQ_000031.txt,27,6,Valid,
IQ_000032.txt,48,11,Valid,
IQ_000033.txt,31,6,Valid,
IQ_000034.txt,20,4,Valid,
IQ_000035.txt,41,8,Valid,
IQ_000036.txt,47,9,Valid,
IQ_000037.txt,24,4,Valid,
IQ_000038.txt,72,12,Valid,
IQ_000039.txt,46,9,Valid,
IQ_000040.txt,103,16,Valid,
IQ_000041.txt,12,2,Valid,
IQ_000042.txt,19,3,Valid,
IQ_000043.txt,32,5,Valid,
IQ_000044.txt,74,14,Valid,
IQ_000045.txt,55,9,Valid,
IQ_000046.txt,17,4,Valid,
IQ_000047.txt,46,8,Valid,
IQ_000048.txt,56,11,Valid,
IQ_000049.txt,37,6,Valid,
IQ_000050.txt,25,4,Valid,
IQ_000051.txt,53,10,Valid,
IQ_000052.txt,17,3,Valid,
IQ_000053.txt,46,11,Valid,
IQ_000054.txt,55,11,Valid,
IQ_000055.txt,56,11,Valid,
IQ_000056.txt,29,6,Valid,
IQ_000057.txt,16,3,Valid,
IQ_000058.txt,45,8,Valid,
IQ_000059.txt,38,10,Valid,
IQ_000060.txt,13,3,Valid,
IQ_000061.txt,18,3,Valid,
IQ_000062.txt,24,4,Valid,
IQ_000063.txt,40,8,Valid,
IQ_000064.txt,25,5,Valid,
IQ_000065.txt,24,6,Valid,
IQ_000066.txt,43,9,Valid,
IQ_000067.txt,29,5,Valid,
IQ_000068.txt,33,7,Valid,
IQ_000069.txt,16,2,Valid,
IQ_000070.txt,64,13,Valid,
IQ_000071.txt,9,2,Warning,Contains unusual symbols
IQ_000072.txt,19,3,Valid,
IQ_000073.txt,43,8,Valid,
IQ_000074.txt,35,5,Valid,
IQ_000075.txt,6,1,Valid,
IQ_000076.txt,42,9,Valid,
IQ_000077.txt,24,5,Valid,
IQ_000078.txt,23,4,Valid,
IQ_000079.txt,29,5,Valid,
IQ_000080.txt,20,5,Valid,
