audio_file,dataset_type,segmentation_required,segmentation_decision,segments,segmentation_status,segment_validation
IQ_000001.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000002.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000003.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000004.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000005.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000006.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000007.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000008.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000009.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000010.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000011.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000012.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000013.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000014.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000015.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000016.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000017.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000018.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000019.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000020.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000021.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000022.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000023.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000024.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000025.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000026.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000027.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000028.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000029.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000030.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000031.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000032.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000033.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000034.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000035.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000036.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000037.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000038.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000039.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000040.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000041.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000042.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000043.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000044.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000045.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000046.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000047.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000048.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000049.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000050.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000051.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000052.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000053.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000054.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000055.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000056.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000057.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000058.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000059.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000060.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000061.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000062.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000063.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000064.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000065.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000066.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000067.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000068.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000069.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000070.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000071.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000072.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000073.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000074.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000075.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000076.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000077.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000078.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000079.wav,already_segmented,False,skip,1,Skipped,Passed
IQ_000080.wav,already_segmented,False,skip,1,Skipped,Passed
